Q1,,,Q2,,,Q3,,,Q4,,
Area, 06 < 13 Weeks , 13+ Weeks ,Area, 06 < 13 Weeks , 13+ Weeks ,Area, 06 < 13 Weeks , 13+ Weeks ,Area, 06 < 13 Weeks , 13+ Weeks 
Audiology,236,46,Audiology,285,170,Audiology,317,266,Audiology,703,416
Cardiology,"1,364",891,Cardiology,"1,182",553,Cardiology,"1,659",650,Cardiology,"1,299",148
Endoscopy,"3,730",784,Endoscopy,"2,463",733,Endoscopy,"2,349",792,Endoscopy,"2,695",561
GI Physiology,275,229,GI Physiology,306,224,GI Physiology,325,293,GI Physiology,445,256
Imaging,"3,518",300,Imaging,"2,028",130,Imaging,"2,630",88,Imaging,"3,402",169
Neurophysiology,379,113,Neurophysiology,179,53,Neurophysiology,215,48,Neurophysiology,210,68
Ophthalmic Science,267,14,Ophthalmic Science,84,12,Ophthalmic Science,287,77,Ophthalmic Science,134,14
Pathology,817,151,Pathology,498,258,Pathology,"2,405",474,Pathology,"1,484",431
Respiratory Physiology,177,14,Respiratory Physiology,253,64,Respiratory Physiology,253,38,Respiratory Physiology,174,49
Urodynamics,117,37,Urodynamics,152,12,Urodynamics,201,9,Urodynamics,194,4
Vascular Technology,54,19,Vascular Technology,139,31,Vascular Technology,266,10,Vascular Technology,131,19
Total,"10,934","2,598",Total,"7,569","2,240",Total,"10,907","2,745",Total,"10,871","2,135"
