Q1,,,Q2,,,Q3,,,Q4,,
Area, 06 < 13 Weeks , 13+ Weeks ,Area, 06 < 13 Weeks , 13+ Weeks ,Area, 06 < 13 Weeks , 13+ Weeks ,Area, 06 < 13 Weeks , 13+ Weeks 
Audiology,913,65,Audiology,783,58,Audiology,434,50,Audiology,517,25
Cardiology,"3,071",836,Cardiology,"2,976","1,082",Cardiology,"3,745",688,Cardiology,"3,894","1,233"
Endoscopy,"4,325",912,Endoscopy,"4,311",705,Endoscopy,"5,183","1,431",Endoscopy,"3,507",807
GI Physiology,410,237,GI Physiology,285,119,GI Physiology,324,194,GI Physiology,357,165
Imaging,"7,079","1,648",Imaging,"6,726","2,535",Imaging,"6,637",986,Imaging,"4,723",874
Neurophysiology,"1,149",260,Neurophysiology,"1,024",250,Neurophysiology,646,234,Neurophysiology,535,180
Ophthalmic Science,177,47,Ophthalmic Science,184,47,Ophthalmic Science,210,38,Ophthalmic Science,194,36
Pathology,"1,075",452,Pathology,"1,441",667,Pathology,"1,992",883,Pathology,"2,185","1,213"
Respiratory Physiology,529,106,Respiratory Physiology,538,185,Respiratory Physiology,599,167,Respiratory Physiology,541,221
Urodynamics,313,44,Urodynamics,285,71,Urodynamics,350,56,Urodynamics,356,62
Vascular Technology,140,23,Vascular Technology,371,52,Vascular Technology,321,148,Vascular Technology,269,87
Total,"19,181","4,630",Total,"18,924","5,771",Total,"20,441","4,875",Total,"17,078","4,903"
