Q1,,,Q2,,,Q3,,,Q4,,
Area, 06 < 13 Weeks , 13+ Weeks ,Area, 06 < 13 Weeks , 13+ Weeks ,Area, 06 < 13 Weeks , 13+ Weeks ,Area, 06 < 13 Weeks , 13+ Weeks 
Audiology,547,56,Audiology,394,49,Audiology,760,25,Audiology,878,74
Cardiology,"3,272",398,Cardiology,"3,470",626,Cardiology,"2,436",666,Cardiology,"2,900",747
Endoscopy,"7,211","2,585",Endoscopy,"6,438","2,305",Endoscopy,"6,481","2,191",Endoscopy,"5,230","1,632"
GI Physiology,249,88,GI Physiology,139,90,GI Physiology,309,106,GI Physiology,524,255
Imaging,"4,710",804,Imaging,"5,528",938,Imaging,"6,745","1,047",Imaging,"6,554","1,158"
Neurophysiology,498,290,Neurophysiology,823,233,Neurophysiology,"1,394",239,Neurophysiology,"1,242",299
Ophthalmic Science,260,51,Ophthalmic Science,193,73,Ophthalmic Science,190,66,Ophthalmic Science,217,57
Pathology,"1,127",324,Pathology,"1,741",389,Pathology,"1,326",324,Pathology,"1,147",506
Respiratory Physiology,284,60,Respiratory Physiology,346,60,Respiratory Physiology,516,119,Respiratory Physiology,738,233
Urodynamics,263,102,Urodynamics,279,175,Urodynamics,264,63,Urodynamics,249,55
Vascular Technology,14,7,Vascular Technology,27,2,Vascular Technology,9,0,Vascular Technology,17,5
Total,"18,435","4,765",Total,"19,378","4,940",Total,"20,430","4,846",Total,"19,696","5,021"
