Q1,,,Q2,,,Q3,,,Q4,,
Area, 06 < 13 Weeks , 13+ Weeks ,Area, 06 < 13 Weeks , 13+ Weeks ,Area, 06 < 13 Weeks , 13+ Weeks ,Area, 06 < 13 Weeks , 13+ Weeks 
Audiology,629,519,Audiology,318,391,Audiology,365,141,Audiology,394,88
Cardiology,"1,521",154,Cardiology,"1,427",193,Cardiology,"1,863",178,Cardiology,"1,805",219
Endoscopy,"2,995",737,Endoscopy,"3,178",706,Endoscopy,"3,720",849,Endoscopy,"4,477",888
GI Physiology,380,421,GI Physiology,423,256,GI Physiology,411,169,GI Physiology,259,146
Imaging,"2,634",146,Imaging,"2,527",169,Imaging,"5,221",396,Imaging,"8,155",726
Neurophysiology,231,127,Neurophysiology,295,84,Neurophysiology,510,139,Neurophysiology,475,178
Ophthalmic Science,122,20,Ophthalmic Science,129,16,Ophthalmic Science,89,25,Ophthalmic Science,134,21
Pathology,"1,343",431,Pathology,668,432,Pathology,"1,981",493,Pathology,"1,925",393
Respiratory Physiology,139,37,Respiratory Physiology,147,21,Respiratory Physiology,308,44,Respiratory Physiology,144,28
Urodynamics,209,21,Urodynamics,268,37,Urodynamics,212,74,Urodynamics,197,52
Vascular Technology,197,5,Vascular Technology,186,71,Vascular Technology,194,45,Vascular Technology,114,50
Total,"10,400","2,618",Total,"9,566","2,376",Total,"14,874","2,553",Total,"18,079","2,789"
