Q1,,,Q2,,,Q3,,,Q4,,
Area, 06 < 13 Weeks , 13+ Weeks ,Area, 06 < 13 Weeks , 13+ Weeks ,Area, 06 < 13 Weeks , 13+ Weeks ,Area, 06 < 13 Weeks , 13+ Weeks 
Audiology, 755 , 24 ,Audiology, 195 , 13 ,Audiology, 500 , 27 ,Audiology, 386 , 43 
Cardiology, 635 , 108 ,Cardiology, 706 , 192 ,Cardiology, 828 , 88 ,Cardiology, 979 , 199 
Endoscopy," 2,089 ", 270 ,Endoscopy," 1,979 ", 227 ,Endoscopy," 2,391 ", 226 ,Endoscopy," 1,895 ", 290 
GI Physiology, 191 , 67 ,GI Physiology, 85 , 139 ,GI Physiology, 188 , 13 ,GI Physiology, 134 , 41 
Imaging," 1,365 ", 240 ,Imaging," 1,116 ", 30 ,Imaging," 2,646 ", 103 ,Imaging," 1,612 ", 92 
Neurophysiology, 448 , 43 ,Neurophysiology, 236 , 11 ,Neurophysiology, 329 , 10 ,Neurophysiology, 243 , 1 
Ophthalmic Science, 208 , 39 ,Ophthalmic Science, 235 , 26 ,Ophthalmic Science, 251 , 37 ,Ophthalmic Science, 197 , 25 
Pathology," 2,367 ", 360 ,Pathology," 2,056 ", 149 ,Pathology, 740 , 176 ,Pathology, 501 , 172 
Respiratory Physiology, 150 , 35 ,Respiratory Physiology, 49 , 15 ,Respiratory Physiology, 86 , 3 ,Respiratory Physiology, 62 , 8 
Urodynamics, 89 , 8 ,Urodynamics, 83 , 15 ,Urodynamics, 141 , 9 ,Urodynamics, 171 , 13 
Vascular Technology, 160 , 11 ,Vascular Technology, 113 , 42 ,Vascular Technology, 107 , 28 ,Vascular Technology, 116 , 8 
TOTAL," 8,457 "," 1,205 ",TOTAL," 6,853 ", 859 ,TOTAL," 8,207 ", 720 ,TOTAL," 6,296 ", 892 
,,,,,,,,,,,
