Q1,,,Q2,,,Q3,,,Q4,,
Area, 06 < 13 Weeks , 13+ Weeks ,Area, 06 < 13 Weeks , 13+ Weeks ,Area, 06 < 13 Weeks , 13+ Weeks ,Area, 06 < 13 Weeks , 13+ Weeks 
Audiology,432,76,Audiology,802,104,Audiology,830,110,Audiology,716,58
Cardiology,981,211,Cardiology,960,273,Cardiology,"2,433",554,Cardiology,"2,789",563
Endoscopy,"2,484",165,Endoscopy,"2,393",433,Endoscopy,"3,569",545,Endoscopy,"4,325",678
GI Physiology,101,39,GI Physiology,189,50,GI Physiology,206,82,GI Physiology,217,103
Imaging,"1,342",168,Imaging,"2,774",197,Imaging,"3,959",56,Imaging,"3,296",394
Neurophysiology,81,5,Neurophysiology,152,44,Neurophysiology,452,25,Neurophysiology,594,12
Ophthalmic Science,358,5,Ophthalmic Science,187,20,Ophthalmic Science,236,16,Ophthalmic Science,342,85
Pathology,444,241,Pathology,334,216,Pathology,737,164,Pathology,629,252
Respiratory Physiology,90,15,Respiratory Physiology,42,7,Respiratory Physiology,88,13,Respiratory Physiology,202,21
Urodynamics,114,24,Urodynamics,101,42,Urodynamics,177,66,Urodynamics,120,82
Vascular Technology,175,2,Vascular Technology,211,5,Vascular Technology,400,9,Vascular Technology,216,39
TOTAL,"6,602",951,TOTAL,"8,145","1,391",Total,"13,087","1,640",Total,"13,446","2,287"
