Q1,,,Q2,,,Q3,,,Q4,,
Area, 06 < 13 Weeks , 13+ Weeks ,Area, 06 < 13 Weeks , 13+ Weeks ,Area, 06 < 13 Weeks , 13+ Weeks ,Area, 06 < 13 Weeks , 13+ Weeks 
Audiology,"1,003",46,Audiology,691,96,Audiology,562,18,Audiology,310,17
Cardiology,"2,628",628,Cardiology,"1,109",531,Cardiology,"1,535",746,Cardiology,763,676
Endoscopy,"4,897","1,088",Endoscopy,"4,557",904,Endoscopy,"3,525",830,Endoscopy,"2,737",354
GI Physiology,181,167,GI Physiology,235,193,GI Physiology,311,185,GI Physiology,227,303
Imaging,"3,587",530,Imaging,"3,031",328,Imaging,"3,440",387,Imaging,"1,813",87
Neurophysiology,713,163,Neurophysiology,725,51,Neurophysiology,599,66,Neurophysiology,793,20
Ophthalmic Science,310,43,Ophthalmic Science,289,36,Ophthalmic Science,729,162,Ophthalmic Science,113,13
Pathology,468,336,Pathology,641,302,Pathology,657,271,Pathology,655,190
Respiratory Physiology,104,35,Respiratory Physiology,208,23,Respiratory Physiology,140,18,Respiratory Physiology,197,35
Urodynamics,146,279,Urodynamics,106,90,Urodynamics,174,75,Urodynamics,105,21
Vascular Technology,222,4,Vascular Technology,127,11,Vascular Technology,94,14,Vascular Technology,72,24
Total,"14,259","3,319",Total,"11,719","2,565",Total,"11,766","2,772",Total,"7,785","1,740"
